err_whole, err1, err2, err3, err4, err5, err6, err7, err8, err9
7.169004021517572101e-03,3.995615861397383214e-03,7.060395100540532189e-03,7.776562821448170654e-03,1.175645661893013651e-02,4.998799791542937916e-03,6.089494342059686115e-03,5.988556027023502273e-03,8.624302484054637008e-03,5.362496146554074014e-03
8.248944275519783445e-03,6.270658826155437598e-03,7.320558404947830923e-03,1.210875121299098862e-02,1.301271240248287955e-02,5.673667413771271012e-03,5.476809461710353127e-03,6.204228101187800326e-03,8.992059899639682358e-03,9.720611971216283273e-03
7.251804793513918351e-03,5.414791485328126174e-03,6.733020184385566861e-03,9.898453203657370247e-03,1.183185450537121118e-02,5.117575963054067124e-03,5.982191715226137414e-03,6.429458354190413852e-03,8.425088105801196645e-03,4.586819508299270522e-03
7.540244011145862645e-03,3.159683597136738430e-03,7.405662616912435554e-03,9.084657575916541342e-03,1.232328996817357719e-02,5.649882023465031301e-03,6.095098071783536763e-03,6.397936283551766169e-03,7.506606709257250890e-03,5.830114544715686575e-03
6.580977332431158996e-03,4.954842698360404328e-03,7.277904925851960173e-03,7.130573719439643569e-03,8.810218753772148734e-03,5.343516225502365456e-03,5.532436068490127583e-03,6.214109343981931259e-03,7.071984518004010255e-03,5.906617634937672175e-03
7.132279032990374371e-03,3.857123005849202695e-03,6.710469764721022773e-03,7.703626470849105241e-03,1.163664915295524287e-02,5.249569215548903316e-03,5.574809412121795905e-03,6.228730866681046405e-03,8.089665698444714614e-03,7.086076045559370692e-03
7.430339287905124435e-03,7.190458425048754272e-03,6.038561703351558868e-03,1.327301200823497764e-02,1.194869279433533049e-02,4.786023259203775124e-03,4.493656257198496394e-03,6.350329499539829683e-03,7.645056870814708437e-03,7.586676040561964041e-03
7.347976970607727858e-03,7.114514734245196495e-03,6.692030091130362658e-03,1.150617996457366406e-02,1.159758051348119302e-02,4.769935488698660853e-03,4.831943753812318991e-03,5.470830866817193855e-03,1.004153886375704942e-02,7.204159150601720241e-03
8.633561733157348733e-03,4.896299520839312441e-03,5.819809052924453455e-03,1.615610572413005847e-02,1.534801845923766325e-02,3.896948963930421499e-03,4.096459334418873881e-03,5.488424180891132362e-03,8.084206165550849102e-03,1.080482066190958587e-02
6.172685714829313601e-03,3.812227240024430516e-03,5.655529849844941233e-03,6.971560729623265361e-03,1.147145285295957627e-02,3.737884673851166184e-03,4.592989424250745224e-03,4.739948302523347423e-03,6.945615948094459313e-03,4.832492191343638714e-03
7.893720591584111462e-03,5.291776415640823614e-03,4.924546413877399498e-03,5.945106630320995400e-03,1.789142785741228842e-02,3.910131140868264819e-03,3.930331323454981131e-03,4.857061525138118945e-03,8.364945325538117663e-03,8.760629768510500709e-03
7.136049479119340767e-03,3.608378511649353287e-03,6.048400245304473566e-03,7.888624313953004549e-03,1.413676116646061902e-02,3.971409592814931222e-03,4.740616679435015642e-03,4.656895328292014538e-03,8.803453518394304192e-03,6.180108971438280641e-03
6.783937868334967598e-03,3.938636944453438767e-03,5.469754278758259813e-03,1.011747384126349993e-02,1.162218152132494034e-02,4.881919494278560111e-03,4.943740786397225404e-03,5.206652072372142115e-03,7.094834714826783219e-03,6.206750521903774999e-03
